Element,locus,n,spearman,model
TERT-HEK,TERT,865,0.1898520946155409,Ridge | context + motifs
UC88,UC88,1840,0.12855464263937263,Ridge | context + motifs
ZFAND3,ZFAND3,1893,0.03428730025599192,Ridge | context + motifs
ZRSh-13,ZRS,1571,0.08600750517853852,Ridge | context + motifs
ZRSh-13h2,ZRS,1572,0.052593298077130445,Ridge | context + motifs
BCL11A,BCL11A,1985,0.04251953716842717,Gradient boosting | context + motifs
F9,F9,952,0.11900758661629639,Gradient boosting | context + motifs
FOXE1,FOXE1,1923,-0.0026582107838021506,Gradient boosting | context + motifs
GP1BA,GP1BA,1239,0.07848916114812984,Gradient boosting | context + motifs
HBB,HBB,596,0.3408673846929079,Gradient boosting | context + motifs
HBG1,HBG1,888,0.25774808215398015,Gradient boosting | context + motifs
HNF4A,HNF4A,931,0.1218698681991068,Gradient boosting | context + motifs
IRF4,IRF4,1458,0.15515669161083218,Gradient boosting | context + motifs
IRF6,IRF6,1739,0.11402460401696936,Gradient boosting | context + motifs
LDLR,LDLR,1004,0.19600675881613644,Gradient boosting | context + motifs
LDLR.2,LDLR,1024,0.22329732091767396,Gradient boosting | context + motifs
MSMB,MSMB,1912,0.16544206972003198,Gradient boosting | context + motifs
MYCrs11986220,MYCrs11986220,1554,0.00357265587084899,Gradient boosting | context + motifs
MYCrs6983267,MYCrs6983267,1809,0.04104908261999677,Gradient boosting | context + motifs
PKLR-24h,PKLR,1503,0.12531054911453687,Gradient boosting | context + motifs
PKLR-48h,PKLR,1533,0.10267753907350874,Gradient boosting | context + motifs
RET,RET,1911,0.008032222222732815,Gradient boosting | context + motifs
SORT1,SORT1,1806,0.19095051216771738,Gradient boosting | context + motifs
SORT1-flip,SORT1,1884,0.19151035540245803,Gradient boosting | context + motifs
SORT1.2,SORT1,1918,0.18576749384009583,Gradient boosting | context + motifs
TCF7L2,TCF7L2,1801,0.08636467339490043,Gradient boosting | context + motifs
TERT-GAa,TERT,869,0.19399207420263695,Gradient boosting | context + motifs
TERT-GBM,TERT,878,0.21915643341228885,Gradient boosting | context + motifs
TERT-GSc,TERT,866,0.19675527042825927,Gradient boosting | context + motifs
TERT-HEK,TERT,865,0.24070281312021,Gradient boosting | context + motifs
UC88,UC88,1840,0.12182002331394327,Gradient boosting | context + motifs
ZFAND3,ZFAND3,1893,0.13912959457355578,Gradient boosting | context + motifs
ZRSh-13,ZRS,1571,0.07292001883815356,Gradient boosting | context + motifs
ZRSh-13h2,ZRS,1572,0.05955295137036336,Gradient boosting | context + motifs
